symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,entry_hist_z,entry_vel_z,entry_accel,entry_velocity,entry_volatility_pct,exit_accel,exit_vel,exit_jerk
MEOH,2026-03-27,15:39:00,15:39:20,64.1199,63.79,-0.5145048573063933,2.089990782892663,2.6044956401990564,-0.6548668977961575,2.089990782892663,14400,STOP_LOSS,12.773088817894548,12.837456022799941,369.44354819308387,370.0111295176901,0.10385769788780541,-63.80405092194374,-167.7474726951373,410.1505003689399
MEOH,2026-03-27,17:29:20,17:38:40,64.51,64.27,-0.372035343357633,1.4726399007905573,1.8446752441481902,-0.372035343357633,1.4726399007905573,7240,STOP_LOSS,10.568383668579674,11.019084088887745,56.6564858741236,57.18588531469753,0.10822379138467038,-4.628330383293047,-3.2341740417691494,-5.168667846683558
MEOH,2026-03-27,18:10:30,18:24:40,64.37,64.59,0.34177411837812466,1.6933354046916098,1.3515612863134852,-0.08839521516234089,0.0,0,TRAILING_STOP,10.701648227225006,11.2392040978046,134.6412496994562,132.07437575151914,0.1630096295672488,24.30961592411315,24.33396018972181,24.319353630356613
MEOH,2026-03-27,19:22:40,19:32:00,64.7285,65.1322,0.6236819947936391,1.1301049769421458,0.5064229821485068,0.2933792687919674,0.0,0,TARGET,10.72127687456686,11.384842939109653,76.21146277492197,76.11964306269604,0.12427796348496317,-19.58784773927718,5.565119348193003,-33.23262090429002
MSTR,2026-03-27,13:30:00,13:30:20,130.59,130.16,-0.3292748296194248,-0.08423309594916428,0.2450417336702605,-4.640477831380658,0.0,0,STOP_LOSS,0.0,0.0,0.0,25781.23600000054,0.1,2187.9965020408526,-5250.032755102155,0.0
BCYC,2026-03-27,16:38:30,16:50:00,4.33,4.365,0.8083140877598186,0.8083140877598186,0.0,-2.3094688221708926,0.0,0,TARGET,11.248679226632536,11.213012027852415,6.963815185195241,6.544462037011402,0.1443269521719354,1.9635290380780317,1.9711774048049922,1.966588384768816
BCYC,2026-03-27,18:22:40,19:50:50,4.25,4.2934,1.0211764705882378,2.35294117647058,1.331764705882342,0.9411764705882361,0.0,0,TRAILING_STOP,10.257606366133656,10.360959370212925,1.8690427419969864,1.7573931450073963,0.4076847463217949,44.348958024630015,42.43860493842405,46.74381679014761
SMCI,2026-03-27,13:30:00,13:30:20,22.0,22.12,0.54545454545455,0.7268181818181835,0.1813636363636335,-2.3581818181818126,0.0,0,TARGET,0.0,0.0,0.0,392.2159000000149,0.1,50.853636734692884,-77.95679183673917,0.0
TSLA,2026-03-27,13:30:00,13:31:10,369.8,368.7945,-0.27190373174688576,-0.27190373174688576,0.0,-1.4467279610600385,0.0,0,STOP_LOSS,0.0,0.0,0.0,158996.7758000082,0.1,2706.890327950656,-6031.28711987687,-276.7958111802145
AMZN,2026-03-27,13:30:00,13:31:00,205.401,204.8709,-0.2580805351483218,-0.13777927079226265,0.12030126435605915,-0.9401122681973366,0.0,0,STOP_LOSS,0.0,0.0,0.0,6193.404799993859,0.1,55.74792971625095,-406.1376242905418,95.02934811350167
META,2026-03-27,13:30:00,13:30:20,543.4988,540.88,-0.4818409902652894,-0.12489447998779578,0.35694651027749363,-1.3134895606025159,0.0,0,STOP_LOSS,0.0,0.0,0.0,149918.78189997227,0.1,12539.740595916126,-30505.012089790238,0.0
GOOGL,2026-03-27,13:30:00,13:33:30,278.1311,277.41,-0.2592662237340515,-0.2592662237340515,0.0,-0.9208247477538508,0.0,0,STOP_LOSS,0.0,0.0,0.0,27756.59880001257,0.1,35.730609431286624,-26.497223578205254,-143.64032377246104
PLTR,2026-03-27,13:30:00,13:30:10,145.71,145.305,-0.27794935145151406,0.0,0.27794935145151406,-1.3245487612380802,0.0,0,STOP_LOSS,0.0,0.0,0.0,30126.374500004105,0.1,0.0,-8640.644371429742,0.0
MEOH,2026-03-26,16:29:40,16:39:00,59.36,59.21,-0.252695417789755,0.7159703504043079,0.9686657681940629,-1.1202830188679231,0.7159703504043079,11140,STOP_LOSS,10.834404573055554,11.177129346314107,41.50002853898766,41.57992865253375,0.1,-0.24703363164885161,-0.04751592087785883,-0.13270654734045395
MEOH,2026-03-26,17:50:40,17:55:30,59.16,59.0,-0.27045300878971706,1.0564570655848546,1.3269100743745716,-0.5409060175794341,1.0564570655848546,6550,STOP_LOSS,11.535716017242658,12.567622575430285,55.046189451868514,55.455826370358565,0.1,-0.48935517976182336,-0.6902120505955719,-0.5186579280953593
MSTR,2026-03-26,13:30:00,13:30:40,136.22,136.535,0.23124357656731592,2.0554984583761646,1.8242548818088486,-0.3670532961385993,0.0,0,TRAILING_STOP,0.0,0.0,0.0,2100.504099999641,0.1,99.54444656391252,-259.44621640979005,89.20610137442566
AAPL,2026-03-26,13:30:00,13:35:50,250.905,251.43,0.20924254199796963,0.6003068890615998,0.39106434706363014,0.1534843865207924,0.0,0,TRAILING_STOP,0.0,0.0,0.0,75239.49860000674,0.1,-7.987061620936949,-3.4201459476299796,-6.140135351607345
META,2026-03-26,13:30:00,13:30:10,580.45,578.91,-0.26531139633044654,-0.13523990007754014,0.1300714962529064,-0.7812903781548938,0.0,0,STOP_LOSS,0.0,0.0,0.0,84633.60140001867,0.1,0.0,-24809.223714291045,0.0
