symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,ml_entry_prob,ml_crash_prob
BCYC,2026-04-01,17:58:00,17:58:10,5.0,4.99,-0.19999999999999576,-0.19999999999999576,0.0,-2.599999999999998,0.0,0,ML_CRASH_DETECTED,0.457264542434059,0.5642088819314516
SMCI,2026-04-01,13:36:00,13:36:50,23.1151,23.1234,0.035907264082778875,0.7566482515757984,0.7207409874930195,-0.8224061327876628,0.7566482515757984,2730,ML_CRASH_DETECTED,0.8143794453182626,0.22932698400180432
SMCI,2026-04-01,13:37:40,13:38:10,23.149,23.1411,-0.034126744135813,0.6090975852088567,0.6432243293446697,-0.9676443906864236,0.6090975852088567,2650,ML_CRASH_DETECTED,0.8082811456544056,0.2550349607130142
SMCI,2026-04-01,13:39:00,13:39:20,23.105,23.1,-0.021640337589262086,0.800692490802851,0.8223328283921131,-0.7790521532135889,0.800692490802851,2580,ML_CRASH_DETECTED,0.7220575436004313,0.7207415068757533
SMCI,2026-04-01,13:40:10,13:40:30,23.03,23.01,-0.08684324793747102,1.1289622231871386,1.2158054711246096,-0.4559270516717343,1.1289622231871386,2510,ML_CRASH_DETECTED,0.4166649014745643,0.874607275882547
SMCI,2026-04-01,13:45:00,13:45:10,23.075,23.095,0.08667388949078905,0.9317443120260015,0.8450704225352125,-0.6500541711809256,0.9317443120260015,2230,ML_CRASH_DETECTED,0.4000702970751553,0.3058344584434917
SMCI,2026-04-01,13:54:10,13:54:30,23.01,23.04,0.1303780964797809,1.2168622338113757,1.0864841373315948,-0.36940460669274594,1.2168622338113757,1670,ML_CRASH_DETECTED,0.4571161093950859,0.27117576075908983
SMCI,2026-04-01,14:09:10,14:09:20,23.105,23.1698,0.2804587751568846,0.800692490802851,0.5202337156459664,-0.021640337589262086,0.800692490802851,780,ML_CRASH_DETECTED,0.4594634796517537,0.7184400048085393
SMCI,2026-04-01,14:21:50,14:22:10,23.235,23.25,0.06455777921239754,0.23671185711211412,0.1721540778997166,-0.17817947062620804,0.23671185711211412,10,ML_CRASH_DETECTED,0.44117253516920024,0.5355526855162889
SMCI,2026-04-01,14:24:00,14:24:10,23.285,23.2771,-0.03392742108653361,0.021473051320588386,0.055400472407121995,-0.19325746188534124,0.021473051320588386,10,ML_CRASH_DETECTED,0.46236627901603455,0.31553462278422095
AAPL,2026-04-01,13:34:30,13:34:40,254.7942,254.67,-0.048745222614958214,0.2868197156764229,0.3355649382913811,-0.048745222614958214,0.2868197156764229,420,ML_CRASH_DETECTED,0.6897389765654125,0.32497721247697386
AAPL,2026-04-01,13:36:50,13:37:30,255.0286,255.045,0.006430651307334154,0.19464483591251888,0.18821418460518474,-0.10728208522495754,0.19464483591251888,250,ML_CRASH_DETECTED,0.5657359835541923,0.2598665049076101
AMZN,2026-04-01,13:39:00,13:39:40,210.84,210.88,0.0189717321191387,0.0189717321191387,0.0,-0.578637829633845,0.0189717321191387,0,ML_CRASH_DETECTED,0.7113960228758373,0.26360889060777554
META,2026-04-01,13:34:00,13:34:10,581.27,580.815,-0.07827687649455972,0.5642816591257028,0.6425585356202625,-0.13762967295748182,0.5642816591257028,250,ML_CRASH_DETECTED,0.5841110507318579,0.4741228262653262
META,2026-04-01,13:36:40,13:36:50,583.12,583.32,0.03429825764851925,0.24523254218684834,0.21093428453832908,-0.4544519138427729,0.24523254218684834,90,ML_CRASH_DETECTED,0.47813205629113076,0.6122535302761972
GOOGL,2026-04-01,13:34:20,13:34:30,293.92,293.8743,-0.015548448557434242,0.44569951007076825,0.4612479586282025,-0.015548448557434242,0.44569951007076825,210,ML_CRASH_DETECTED,0.4113641954931944,0.6123073292265168
PLTR,2026-04-01,13:33:40,13:33:50,147.1696,147.4758,0.2080592731107442,0.2080592731107442,0.0,-0.6568611995955707,0.2080592731107442,0,ML_CRASH_DETECTED,0.45250763337911193,0.5851852804368687
PLTR,2026-04-01,13:36:50,13:37:10,146.97,146.97,0.0,0.10988637136829935,0.10988637136829935,-0.5219432537252495,0.10988637136829935,270,ML_CRASH_DETECTED,0.4417404238447836,0.3107814817936669
PLTR,2026-04-01,13:41:20,13:41:50,147.09,146.86,-0.15636685022774474,0.0,0.15636685022774474,-0.6031001427697353,0.0,0,ML_CRASH_DETECTED,0.45206729224844694,0.30736917107249334
MEOH,2026-03-31,13:33:20,13:33:30,62.27,62.089,-0.2906696643648699,1.3569937369519816,1.6476634013168514,-6.616348161233346,1.3569937369519816,90,ML_CRASH_DETECTED,0.5050894202432463,0.7249077491573176
MEOH,2026-03-31,13:34:20,13:34:40,62.73,62.73,0.0,0.6137414315319706,0.6137414315319706,-7.301131834847759,0.6137414315319706,20,ML_CRASH_DETECTED,0.728036131691036,0.535179805765076
MEOH,2026-03-31,13:35:20,13:37:50,63.1,62.635,-0.7369255150554729,-0.07939778129952532,0.6575277337559475,-7.844690966719497,0.0,0,ML_CRASH_DETECTED,0.6770011311048104,0.24325613553349756
MEOH,2026-03-31,13:39:00,13:39:10,62.6,62.16,-0.70287539936103,-0.01597444089456551,0.6869009584664645,-7.108626198083072,0.0,0,ML_CRASH_DETECTED,0.47185638982714045,0.7587159717589104
MEOH,2026-03-31,13:39:40,13:39:50,62.585,62.11,-0.7589678037868521,-0.5432611648158558,0.2157066389709963,-7.08636254693617,0.0,0,ML_CRASH_DETECTED,0.49039881144478636,0.5152180890929405
MEOH,2026-03-31,13:40:40,13:40:50,62.23,62.12,-0.17676361883335923,-0.17676361883335923,0.0,-6.556323316728263,0.0,0,ML_CRASH_DETECTED,0.49069798202651466,0.48192871507544827
MEOH,2026-03-31,15:03:50,15:04:00,61.26,61.235,-0.04080966372836856,0.6529546196539318,0.6937642833823003,-5.076722167809336,0.6529546196539318,5870,ML_CRASH_DETECTED,0.513867170085439,0.46656947632673784
MEOH,2026-03-31,15:21:30,15:21:40,61.045,60.99,-0.09009746908018627,1.0074535178966253,1.0975509869768116,-4.742403145220743,1.0074535178966253,4810,ML_CRASH_DETECTED,0.5020580603504959,0.35146100470412933
MEOH,2026-03-31,16:22:00,16:23:10,60.975,60.975,0.0,1.1234112341123332,1.1234112341123332,-4.633046330463309,1.1234112341123332,1120,ML_CRASH_DETECTED,0.6505902839338953,0.2504482363730237
MEOH,2026-03-31,16:25:20,16:25:50,61.0,60.9264,-0.12065573770491639,1.0819672131147486,1.202622950819665,-4.672131147540986,1.0819672131147486,960,ML_CRASH_DETECTED,0.4359094941938811,0.7421959541747358
MEOH,2026-03-31,16:27:30,16:27:50,61.145,61.0974,-0.07784773898111497,0.8422602011611635,0.9201079401422785,-4.898192820345089,0.8422602011611635,840,ML_CRASH_DETECTED,0.6506412815744458,0.5310996623446285
MEOH,2026-03-31,16:36:20,16:36:40,61.385,61.37,-0.024435937118189408,0.4479921805001199,0.47242811761830933,-5.270017105155982,0.4479921805001199,310,ML_CRASH_DETECTED,0.501899537679068,0.22424224736496495
MEOH,2026-03-31,16:39:10,16:39:20,61.4942,61.53,0.058216872485538196,0.2696189234106587,0.2114020509251205,-5.438236451567791,0.2696189234106587,150,ML_CRASH_DETECTED,0.4209895122088747,0.4861622025781275
MSTR,2026-03-31,13:40:40,13:40:50,122.4237,122.31,-0.09287417387319152,0.7157927754184856,0.8086669492916772,-0.9423828882806193,0.7157927754184856,880,ML_CRASH_DETECTED,0.4093970251453862,0.8422920329726794
BCYC,2026-03-31,13:34:40,13:40:20,4.49,4.5,0.22271714922048524,4.677060133630288,4.454342984409803,-0.8908685968819607,4.677060133630288,12020,ML_CRASH_DETECTED,0.6899451325394539,0.4616264951565656
BCYC,2026-03-31,13:49:50,13:51:50,4.53,4.55,0.4415011037527499,3.752759381898453,3.311258278145703,0.0,3.752759381898453,11330,ML_CRASH_DETECTED,0.5275748849442755,0.3815404400675546
BCYC,2026-03-31,13:52:00,13:52:10,4.55,4.55,0.0,3.2967032967033045,3.2967032967033045,-0.43956043956043017,3.2967032967033045,11310,ML_CRASH_DETECTED,0.51906553303973,0.37763073560769683
BCYC,2026-03-31,13:54:00,13:55:20,4.58,4.57,-0.21834061135370714,2.6200873362445436,2.838427947598251,-1.091703056768555,2.6200873362445436,11120,ML_CRASH_DETECTED,0.6626538309531813,0.4107576399884041
BCYC,2026-03-31,13:57:20,14:00:20,4.57,4.575,0.1094091903719889,2.84463894967177,2.735229759299781,-0.8752735229759306,2.84463894967177,10820,ML_CRASH_DETECTED,0.40231181016637,0.21913672385062602
BCYC,2026-03-31,14:00:30,14:00:40,4.575,4.6,0.5464480874316823,2.73224043715847,2.1857923497267877,-0.9836065573770475,2.73224043715847,10800,ML_CRASH_DETECTED,0.5542353690466918,0.40610787887563293
BCYC,2026-03-31,14:01:20,14:01:30,4.5959,4.5959,0.0,2.265062338170975,2.265062338170975,-1.4338867251245688,2.265062338170975,10750,ML_CRASH_DETECTED,0.4557670524409462,0.40419852389511945
BCYC,2026-03-31,14:01:40,14:01:50,4.5959,4.5912,-0.10226506233818387,2.265062338170975,2.367327400509159,-1.4338867251245688,2.265062338170975,10730,ML_CRASH_DETECTED,0.4419312685804374,0.32574230407467547
BCYC,2026-03-31,14:03:40,14:03:50,4.57,4.57,0.0,2.84463894967177,2.84463894967177,-0.8752735229759306,2.84463894967177,10610,ML_CRASH_DETECTED,0.46344812181948697,0.3749037923463194
BCYC,2026-03-31,14:04:10,14:04:20,4.57,4.57,0.0,2.84463894967177,2.84463894967177,-0.8752735229759306,2.84463894967177,10580,ML_CRASH_DETECTED,0.40964803160113256,0.4379528976378228
BCYC,2026-03-31,14:06:50,14:07:00,4.61,4.61,0.0,1.9522776572668081,1.9522776572668081,-1.7353579175705003,1.9522776572668081,10420,ML_CRASH_DETECTED,0.46653531372306484,0.5040725344256397
